id_Mat,name
ECO-15110,EVALUACION DE PROYECTOS
ECO-15111,ECONOMIA POLITICA
ECO-17100,HISTORIA ECONOMICA DE MEXICO
ECO-17103,SEMINARIO DE LA ECO. DE MEX.
ECO-18101,DESARROLLO ECONOMICO I
ECO-18300,CRECIMIENTO ECONOMICO
ECO-19211,ECONOMIA DE LOS ENERGETICOS
ECO-19220,ECONOMIA DEL MEDIO AMBIENTE
ECO-20514,MACROECONOMETRIA AVANZADA
ECO-21103,ECONOMIA III
ECO-21104,ECONOMÍA IV
ECO-21111,TEO. DEL PROD. Y CONSUMIDOR
ECO-21112,EQUILIBRIO GENERAL
ECO-22105,ECONOMIA V
ECO-22112,MACROECONOMÍA DINÁMICA I
ECO-22113,MACROECONOMIA DINAMICA II
ECO-22126,TOPICOS DE MACROECONOMIA
EGN-11147,HISTORIA DEL ARTE EN MEXICO
EGN-11155,NVA VIS. HIST. MEX 1810
EGN-11161,EL PENSAM ORIENTAL EN LA GLOBA
EGN-17121,IDEAS E INST. POL. Y SOC. I
EGN-17122,IDEAS E INST. POL. Y SOC. II
EGN-17123,IDEAS E INST. POL. Y SOC. III
EGN-17141,"PROB. DE LA CIV. CONTEMP., I"
EGN-17142,"PROB. DE LA CIV. CONTEMP., II"
EGN-17161,HISTORIA SOC.
EGN-17162,PROBLEMAS DE LA REALIDAD MEX.
EIN-11101,INT. A LAS R. INTERNACIONALES
EIN-12201,HIST. DE LAS RELACS. INTER. I
EIN-13104,METODOS DE INV. EN REL. INT.
EIN-13202,HISTORIA DE LAS R.I. II
EIN-14102,TEORIA DE LAS REL. INT.
EIN-14302,HISTORIA DE E.U.A.
EIN-15105,POL. DE LAS REL. ECONOM. INT.
EIN-15302,PROCESO POL. EN E.U.A.:DIMENS.
EIN-16402,EUROPA CONTEMPORANEA
EIN-16403,AMERICA LATINA
EIN-17303,RELACIONES MEXICO
EIN-17304,FORMUL. DE LA POL. EXT. DE MEX
EIN-17403,"JAPON, CHINA Y EL SUDESTE ASIA"
EIN-18602,SEMINARIO DE TITULACION
EIN-19414,MEDIO ORIENTE
EIN-19527,POBREZA Y DESARROLLO
EIN-19536,POL. NAL. E INT DE CAMBIO CLIM
EIN-19545,"VALORES, CULTURA Y DESARROLLO"
EST-10101,"ESTADISTICA.,I"
EST-10102,"ESTADISTICA.,II"
EST-11101,PROBABILIDAD
EST-11102,INFERENCIA ESTADISTICA
EST-11103,ECONOMETRIA I
EST-11104,ECONOMETRIA
EST-13101,MET. ESTADIST. P/C.POL. Y R.I.
EST-14101,"CALCULO DE PROBABILIDADES.,I"
EST-14102,"CALCULO DE PROBABILIDADES.,II"
EST-14103,ESTADISTICA MATEMATICA
